player,Runs,Avg_x,S/R,Wkts,Avg_y,E/R,Catches,Stumping,Credits,Player Type,Team_x,Team_y,Total points,average points,match played,total runs ,total wickets,total_dismissals
S Sandeep Warrier,0.0,0.0,0.0,6.0,19.83,10.82,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
S V Samson,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,7.0
S V Samson,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,6.0
Sai Sudharsan,527.0,47.91,141.29,0.0,0.0,0.0,0.0,0.0,8.0,BAT,GT,0,0.0,0.0,0.0,0.0,0,0.0
Sam Curran,270.0,27.0,123.29,0.0,0.0,0.0,0.0,0.0,7.5,ALL,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Sandeep Sharma,0.0,0.0,0.0,13.0,23.92,8.18,0.0,0.0,7.5,BOWL,RR,0,0.0,0.0,0.0,0.0,0,0.0
Sanju Samson,531.0,48.27,153.47,0.0,0.0,0.0,0.0,0.0,9.0,WK,RR,0,0.0,0.0,0.0,0.0,0,0.0
Shahrukh Khan,127.0,18.14,169.33,0.0,0.0,0.0,0.0,0.0,7.5,ALL,GT,0,0.0,0.0,0.0,0.0,0,0.0
Shashank Singh,354.0,44.25,164.65,1.0,5.0,5.0,0.0,0.0,7.5,BAT,PBKS,0,0.0,0.0,0.0,0.0,0,0.0
Shashank Singh,354.0,44.25,164.65,6.0,22.17,8.87,0.0,0.0,7.5,BAT,PBKS,0,0.0,0.0,0.0,0.0,0,0.0
Shashank Singh,354.0,44.25,164.65,5.0,24.2,10.08,0.0,0.0,7.5,BAT,PBKS,0,0.0,0.0,0.0,0.0,0,0.0
Shimron Hetmyer,113.0,22.6,163.77,0.0,0.0,0.0,0.0,0.0,7.5,BAT,RR,0,0.0,0.0,0.0,0.0,0,0.0
Shivam Dube,396.0,36.0,162.3,0.0,0.0,0.0,0.0,0.0,8.0,BAT,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Shreyas Gopal,0.0,0.0,0.0,3.0,22.33,9.57,0.0,0.0,6.5,BOWL,CHE,0,0.0,0.0,0.0,0.0,0,0.0
Shreyas Iyer,351.0,39.0,146.86,0.0,0.0,0.0,0.0,0.0,8.5,BAT,PBKS,0,0.0,0.0,0.0,0.0,0,0.0
Shubham Dube,33.0,16.5,173.68,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Shubman Gill,426.0,38.73,147.4,0.0,0.0,0.0,0.0,0.0,9.0,BAT,GT,0,0.0,0.0,0.0,0.0,0,0.0
Spencer Johnson,0.0,0.0,0.0,4.0,37.75,9.4,0.0,0.0,6.5,BOWL,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Sunil Narine,488.0,34.86,180.74,0.0,0.0,0.0,0.0,0.0,9.0,ALL,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Suryakumar Yadav,345.0,34.5,167.48,0.0,0.0,0.0,0.0,0.0,9.0,BAT,MI,0,0.0,0.0,0.0,0.0,0,0.0
T A Boult,0.0,0.0,0.0,16.0,27.69,8.31,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
T Natarajan,0.0,0.0,0.0,19.0,24.47,9.06,0.0,0.0,7.5,BOWL,DC,0,0.0,0.0,0.0,0.0,0,0.0
T Stubbs,0.0,0.0,0.0,3.0,5.0,7.5,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
T U Deshpande,0.0,0.0,0.0,17.0,24.94,8.83,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Tilak Varma,416.0,41.6,149.64,0.0,0.0,0.0,0.0,0.0,8.0,BAT,MI,0,0.0,0.0,0.0,0.0,0,0.0
Tim David,241.0,30.13,158.55,0.0,0.0,0.0,0.0,0.0,7.5,BAT,RCB,0,0.0,0.0,0.0,0.0,0,0.0
Travis Head,567.0,40.5,191.55,0.0,0.0,0.0,0.0,0.0,9.0,BAT,SRH,0,0.0,0.0,0.0,0.0,0,0.0
Tristan Stubbs,378.0,54.0,190.91,0.0,0.0,0.0,0.0,0.0,8.0,BAT,DC,0,0.0,0.0,0.0,0.0,0,0.0
U T Yadav,0.0,0.0,0.0,8.0,26.25,10.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
V Kaverappa,0.0,0.0,0.0,2.0,18.0,9.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Vaibhav Arora,0.0,0.0,0.0,11.0,25.09,9.2,0.0,0.0,6.5,BOWL,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Varun Chakaravarthy,0.0,0.0,0.0,21.0,19.14,8.04,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Venkatesh Iyer,370.0,46.25,158.8,0.0,0.0,0.0,0.0,0.0,8.0,BAT,KKR,0,0.0,0.0,0.0,0.0,0,0.0
Virat Kohli,741.0,61.75,154.7,0.0,0.0,0.0,0.0,0.0,9.0,BAT,RCB,0,0.0,0.0,0.0,0.0,0,0.0
W P Saha,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,7.0
W P Saha,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,11.0
Will Jacks,230.0,32.86,175.57,0.0,0.0,0.0,0.0,0.0,7.5,ALL,MI,0,0.0,0.0,0.0,0.0,0,0.0
Y Dayal,0.0,0.0,0.0,15.0,30.6,9.15,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Y S Chahal,0.0,0.0,0.0,18.0,30.33,9.41,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Yashasvi Jaiswal,435.0,31.07,155.91,0.0,0.0,0.0,0.0,0.0,9.0,BAT,RR,0,0.0,0.0,0.0,0.0,0,0.0
